Expected total responses,24
Success count,24
Error count,0
Unverified response count,0
See download status column for download errors
Response ID,Timestamp,Download Status,Which Sprint team are you from?,Which division are you from?,"On a scale of 1-5, how would you rate your SCG AI-First Sprint Experience?",What worked best during the sprint process?,What was the biggest challenge your team faced?,Anything you would like us to do better for upcoming Sprints?,How is the adoption of your solution?,Where do you envision taking your solution next?,Do you plan to continue working on this solution beyond the sprint?,What are your next 2-3 priority steps for development?,What is your realistic timeline for moving forward?,What type of support would be most valuable for advancing your solution? (Check all that apply),What are the biggest barriers you foresee in scaling or adopting your solution?,Would you be interested in ongoing check-ins or follow-up sessions?
68cd4544178ee246e6181d32,19 Sep 2025 07:57:56 PM,Success,ReADI (Real-time Analytics & Digital Intelligence),Procurement,4,"1) Availability of AI clinics support to advise, bounce ideas on the suitable platforms for consideration. 
2) prompt support to allow account creation to allow the team to start working on the problem statement.","Resource constraint balancing BAU work, OKR delivery and working on Sprint solutions.",Nil. Thanks again for organizing this.,Some people beyond my immediate team,Time to prepare Data narrative and visualization for presentation is reduced dramatically.,"Maybe, depends on support/resources","I requested Gemini account access for my immediate team and we are using it after the Sprint.

The solution works well for me. No immediate further problem or enhancement required at the moment.",No timeline yet,Others: Continued access to Gemini Pro acct to enable continued usage,Lack of awareness n user basic knowledge in prompt engineering.,Maybe
68d3ad7d1657665fe49832c7,24 Sep 2025 04:36:13 PM,Success,AI Can Do It,Digital Governance,3,Chance to learn new skills like video creation.,Stress and overtime as cannot deprioritise work to do this sprint.,"Consider one that is not about trialling new AI solutions, but about going from POC to production and active usage, and delivering steady outcomes!  The participants can be (but need not be limited to) the POCs from earlier sprints :)  the cross-divisional aspect can be about the product finding new users",No one,Going to prioritise doing other things.,No,Nil.,No timeline yet,Technical mentorship,Cannot produce output of sufficient quality.,No
68e4c12243683b1a2889f8e9,07 Oct 2025 03:28:34 PM,Success,Minute Makers,Org Excellence,4,"Good that the team provided clear instructions on what we needed to do, the timeline for submission. Good variety of resources and support.",Short timeline,Nil,My immediate team,Encourage adoption,"Maybe, depends on support/resources",Sharing of practice with my team members,No timeline yet,Partnership connections,Quality of input data,No
68e4c1714e938aed62008005,07 Oct 2025 03:29:53 PM,Success,AI,Digital Governance,5,"experimentation - backtrack when we made mistakes, review, make adjustments and try again.","Making videos, we have zero experience making videos before this.",Nope. It was a great and fun experience.,Some people beyond my immediate team,"The solution is from the Transcribe team, we just want to tell people how wonderful the tool is and make more people aware that it has improved with new feature over time.",No,Not applicable to us as the solution is under transcribe team.,No timeline yet,Others: Not applicable.,Reluctance or rather laziness to try out new things.,No
68e4c65413072300a6673fbf,07 Oct 2025 03:50:44 PM,Success,SumUpFollowUp,Digital Governance,4,Collaboration within the PSIRC team (facilitated by director Chun Kiam) to use a common narrative for the 3 entries that provides a common context.,Lack of experience with video editing and voice narration generation apps.,Perhaps provide a list of useful tools (like video editing and voice narration generation apps) for newcomers.,Some people beyond my immediate team,"Still exploring other AI tools for informal meeting notes generation, but so far, using Teams copilot is the most straightforward for Teams call notes.",No,Teams copilot is ready to use. Not sure if there's a way for us to provide feedback to Microsoft for enhancement?,No timeline yet,"Others: Not sure if there's a way for us to provide feedback to Microsoft for enhancement, and whether they'll take in our feedback?","None really, since Teams is the default online meeting application.",Maybe
68e4cac4b2cd35926f69aadd,07 Oct 2025 04:09:40 PM,Success,OE Data Team 1,Org Excellence,4,working with team together,making the video,"give a bit more time; 
consider make it a Fri. learning thing 1) a way to sustain learning week beyond one week 2) sustain AI expr beyond the 3 sprints, e.g. last fri of a month for teams to come together and do something on AI together, an AI playground/party",I'll definitely use it,take it to our team first,"Yes, but unsure of timeline",make sure works with real data,Next quarter,Technical mentorship;Access to data or tools;Funding guidance,"what data can be used on what AI tool, and the stability of the quality of output from the AI tools",Maybe
68e4caff57fdd4599411d935,07 Oct 2025 04:10:39 PM,Success,OE Data Team 1,Org Excellence,3,The AI Clinic,Finding a good AI tool for quantitative analysis. Creating the video.,"Be clearer that this sprint will require some dedicated time resources, write to the ROs to ensure that they know this, publicise the sprint dates further in advance so that people can schedule their time better, do a sprint kick-off so that people know what resources are available and it feels like a more formal start, help people populate their sprint journey by giving them milestones and check in on their progress.",My immediate team,-,"Yes, but unsure of timeline",Finding a tool that can actually do dashboarding and proper quantitative analysis,Next month,Technical mentorship,-,Maybe
68e4cbace51625a63fc27214,07 Oct 2025 04:13:32 PM,Success,OE Data Team 1,Org Excellence,4,AI Clinics helped a lot. in terms of thinking through our solutions (what AI can or should not do) and also what other tech tools that we can consider,"1. lack of information on possible AI or workflow tools that is available to us or suitable for our use case
2. doing the video",share tips on how to upload videos to Slack. faced many hurdles to upload big media file to Slack,My immediate team,I don't see much runway beyond my team especially if future solutions (e.g. AI Chaos) goes through that will allow for us to upload our files to where the AI and dashboarding capabilities reside.,"Yes, definitely",nothing much. my team is using it or in the process of adoption.,Next month,Technical mentorship;Access to data or tools;Legal/compliance guidance,There are better and more comprehensive solutions coming out from later sprints,Maybe
68e4d47643683b1a28906dee,07 Oct 2025 04:51:02 PM,Success,T3 (Tender Tech Titans),Procurement,3,Team members able to quickly narrow down the scope to deliver and work towards the goal in a coordinated manner,"Request for Co-pilot to explore feature, even with multiple clarifications, we never got the license by the deadline of submission, although we learnt that some DDs got their resources quite immediately. Uploading of video also a challenge which can only be done via mobile phone and not Comet.","we felt that there's some differential treatment on request coming from DD level.
Some very impressive winning products which is complex make us wonder how is it possible if from ideation to build only took 3 weeks, whether the judges had fairly assessed that these are not pre-existing product with work-in-progress before the Sprint.",My immediate team,it could be add on to a more complete product in future and do more promoting among PCD,Unsure,no plan,No timeline yet,Marketing/communications help;Others: the DDs support to promote usage within PCD,"resistance in mindset shift among co-workers in PCD, some would expect a mega super AI solution is more worth to implement as compare to small steps and minor tool.",No
68e4d92c5fb256b3e20f3008,07 Oct 2025 05:11:08 PM,Success,ReADI (Real-time Analytics & Digital Intelligence),Procurement,5,The AI clinics & workshops,Tight time line,Cater for more time for subsequent sprints,Some people beyond my immediate team,Expand the user base to help boost efficiency,"Yes, but unsure of timeline",Explore other potential application and gather feedback,Next quarter,Technical mentorship;Access to data or tools;User testing support,Resistance to explore and adopt new solution,Yes
68e4da92854d12e7cdc86cc5,07 Oct 2025 05:17:06 PM,Success,ProphAI$y,Finance,5,support for AI tooling,"insufficient time, trying to juggle tight deadlines at work + sprint at the same time",-,I'll definitely use it,70% automation of budget exercise,"Yes, definitely","1. complete a model to a satisfactory level (right MLs used)
2. comparisons against 1H 2025
3. identify risks & tradeoffs, timeline",6+ months,Others: not at this moment,"interface, users' ability to understand the model methodology",Maybe
68e4dc4e4e938aed62097d39,07 Oct 2025 05:24:30 PM,Success,AI Newcomer,Finance,5,coming up with ideas,making the video,nil,My immediate team,using it to help our team,"Yes, definitely",nil,Next month,Technical mentorship,unsure who else will use this,Maybe
68e4e62843683b1a28952881,07 Oct 2025 06:06:32 PM,Success,ReADI (Real-time Analytics & Digital Intelligence),Procurement,3,The team spirit.,"The uncertainties, not knowing where or how to begin, the time constraint and also the system limitations (like available tools, the required licences, file size limitation for uploading/emailing files, etc.)","Fundamentals/pointers like recommended tools and the licences required, pitfalls to look out for when uploading/emailing, etc. should be highlighted upfront so that the participants don't waste precious time dealing with such in view of the time constraint.",I'll definitely use it,We will reapply it in our work whenever appropriate.,Unsure,Haven't had time to give it much thought.,No timeline yet,Access to data or tools;Legal/compliance guidance,Legal/compliance guidance with respect to data availability (some data may be subjected to certain statute of law due to its sensitivity).,No
68e4e929b2cd35926f724883,07 Oct 2025 06:19:21 PM,Success,T3 (Tender Tech Titans),Procurement,4,The team work.,Coming up with a Gen AI solution to address Procurement problem statement.,Technical mentor to guide us to come up with a better Gen AI solution.,Some people beyond my immediate team,"Beyond using this to prepare the tender briefing documents, we have extended it to use as a document comparison tool using the same Gen AI logic.","Maybe, depends on support/resources",Nil since we have developed the contract document comparison tool.,Next quarter,Technical mentorship;Partnership connections;Access to data or tools,We do not have access to Co-pilot and was only given access to it after the AI sprint has ended.,Yes
68e4ea1933701e9e50cc2b37,07 Oct 2025 06:23:21 PM,Success,T3 (Tender Tech Titans),Procurement,4,Able to hands on creating Pair Bot,Learning new skill to create a bot,NA,My immediate team,Using another example to check the correctness of the data,"Maybe, depends on support/resources",NA,No timeline yet,Funding guidance;Technical mentorship,"Wanted to use co-pilot but due to time constraint, not able to get access",Maybe
68e4ee6243683b1a289670a0,07 Oct 2025 06:41:38 PM,Success,AI Newcomer,Finance,4,"Through the participations, I observe people recognizing that AI is genuinely helping in their work areas, demonstrating how even small-scale applications can have substantial impact.","Being a pioneer in Sprint 1, there's uncertainty about our next steps - for example, whether we need to map out the complete end-to-end process or if we should be attending all the available AI courses.",NA,Some people beyond my immediate team,"We need to take into considerations of the cost involved in the APIs before making the next step. If all make sense, it can be extended to other WD agencies.","Yes, definitely","AiSay will be the first step, then follow by working with AGD/ACCN on the APIs.",Next quarter,Access to data or tools,"Cost vs Benefits, because the output may not be significant to implement end-to-end tools (i.e. APIs/BOT and AiSay) for the cost involved.",Maybe
68e5bb714e938aed621c2294,08 Oct 2025 09:16:33 AM,Success,AI AHA,Digital Governance,4,"The collaborative brainstorming and support from AHA team and organising really stood out, helping each other work through problems and develop solutions.",managing tight timeline,Provide more time buffer for upcoming sprints.,My immediate team,Beyond immediate team,"Yes, but unsure of timeline","If time permits, to enhance the solution with additional features and beta test it through upcoming workshops and sessions to accelerate data generation for analysis.",No timeline yet,User testing support;Access to data or tools;Marketing/communications help,marketing and communications,Maybe
68e5bbd4e51625a63fda4e3c,08 Oct 2025 09:18:12 AM,Success,ProcureLogic,Procurement,4,The hands-on approach to problem-solving was invaluable. Being able to directly engage with real procurement challenges and test potential AI solutions gave our team practical insights that theoretical training couldn't provide. The collaborative environment also fostered creative thinking and allowed us to learn from other teams' approaches.,"Our primary challenges were threefold: First, as newcomers to AI implementation, we needed more foundational training and exposure to build confidence with the technology. Second, data classification posed significant constraints since procurement data often exceeds restricted classification levels, limiting our ability to fully test solutions. Finally, the sprint timeline felt compressed given the complexity of both learning new AI concepts and developing a viable solution.","I'd recommend three key improvements: Provide more comprehensive AI training upfront to build foundational knowledge before diving into solution development. Extend the timeline slightly to allow for deeper exploration and iteration. Most importantly, establish clearer problem statements from the outset to help teams focus their efforts more effectively from day one",My immediate team,"Our sprint has sparked broader interest within our team and division in AI applications for procurement. The next phase involves testing our solution with real procurement data (within appropriate classification boundaries) to validate its effectiveness. We envision expanding this into a comprehensive AI-assisted procurement platform that could streamline processes across multiple government agencies, ultimately improving efficiency and decision-making in public sector procurement.","Yes, definitely","First, we'll deepen our team's AI literacy through targeted training programmes to build internal capability. Second, we'll conduct pilot testing with appropriately classified procurement data to refine our solution's accuracy and usability. Third, we'll engage with stakeholders across procurement teams to understand broader use cases and requirements for scaling the solution effectively.",6+ months,Technical mentorship;User testing support;Partnership connections;Access to data or tools,"Data classification remains our most significant barrier, as procurement data sensitivity limits our ability to fully leverage AI capabilities. Additionally, we'll need to address change management challenges as teams adapt to AI-assisted workflows, ensure compliance with government procurement regulations, and secure adequate resources for ongoing development and maintenance of the solution.",Maybe
68e5c4e157fdd459942d56ab,08 Oct 2025 09:56:49 AM,Success,Bright Bytes,Finance,5,Consultation with AI practice team,time constraint and handling BAU at the same time.,nil,I'll definitely use it,are exploring the relevant AI tools that can be used for our data.,"Yes, definitely","explore the correct AI tools, clean up the data, consolidate the necessary data in database",6+ months,Access to data or tools,Data cleanliness,Maybe
68e5c84943683b1a28a9c421,08 Oct 2025 10:11:21 AM,Success,AI AHA,Digital Governance,3,Getting a peek into everyone's AI toolbox was amazing! Seeing what tools different teams were using and how they actually worked in practice was like getting a crash course in 'AI tools 101'.,"The biggest challenge was the sprint's tight timeline - it felt like we were sprinting through a marathon! We didn't have enough time for proper brainstorming and design thinking, which are crucial for developing well-thought-out solutions. The pace was so fast that we had to jump straight into execution mode without the deeper exploration phase we really needed.","Honestly, need to slow down and do this properly!",No one,"Next: proper brainstorming, user testing, and refining based on real feedback. The sprint was just the beginning!",Unsure,"Revisiting the initial assumptions, doing the design thinking work we rushed through, and then building something more thoughtful and thoroughly tested.",No timeline yet,Technical mentorship;User testing support,"Different teams have different needs, and that's probably our biggest scaling challenge.",No
68e5c938f6463cfce5bd29e0,08 Oct 2025 10:15:20 AM,Success,AI AHA,Digital Governance,4,Collaborating with my team members and found an easy to use solution,Trying to think of a free and easy to use solution,It would be good if there are more demos of different AI tools.,My immediate team,To use it in our next conference,"Maybe, depends on support/resources",Perhaps to scale it to other agencies,No timeline yet,Technical mentorship,Use case might be too narrow,Maybe
68e7132694c7b5d251c28331,09 Oct 2025 09:43:02 AM,Success,AI-YOYO,Org Excellence,4,Clear and practical problem statements that relate to our everyday work,Time constraints,Perhaps give more time for each sprint so teams that have higher barrier to entry in terms of familiarity with AI tools have a chance to catch up,My immediate team,Consistent use of it for everyday work,"Yes, but unsure of timeline",Look into the full potential of Transcribe and compare it to other tools like Fathom,No timeline yet,User testing support;Access to data or tools,"Transcribe's live transcription has glitched a couple of times, so need to look into it",Yes
68e759ec538a817ed74962bb,09 Oct 2025 02:45:00 PM,Success,DataSage Partners,Finance,4,"the tool that was selected (Julius AI) performed better than what we expected. Meaning the generation of dashboard, data cleaning and data analysis.",Whitelisting of Julius AI,Nil,No one,"The sprint was to test the tool Julius AI if it can help with Finance work. So while we know it is a very powerful Data Analytics AI, due to certain IM8 rules it seems hard to whitelist it.","Yes, but unsure of timeline",Seeing how to whitelist such tools or select other tools that can deliver the same result,No timeline yet,Technical mentorship;Legal/compliance guidance;Access to data or tools,Whitelisting of Julius AI and bringing the data into cloud. Data all sits in databricks intranet now which is hard to connect to outside tools,Maybe
